Fecha,Inflaci—n
01/09/96,1.6
01/10/96,1.25
01/11/96,1.52
01/12/96,3.2
01/01/97,2.57
01/02/97,1.68
01/03/97,1.24
01/04/97,1.08
01/05/97,0.91
01/06/97,0.89
01/07/97,0.87
01/08/97,0.89
01/09/97,1.25
01/10/97,0.8
01/11/97,1.12
01/12/97,1.4
01/01/98,2.18
01/02/98,1.75
01/03/98,1.17
01/04/98,0.94
01/05/98,0.8
01/06/98,1.18
01/07/98,0.96
01/08/98,0.96
01/09/98,1.62
01/10/98,1.43
01/11/98,1.77
01/12/98,2.44
01/01/99,2.53
01/02/99,1.34
01/03/99,0.93
01/04/99,0.92
01/05/99,0.6
01/06/99,0.66
01/07/99,0.66
01/08/99,0.56
01/09/99,0.97
01/10/99,0.63
01/11/99,0.89
01/12/99,1
01/01/00,1.34
01/02/00,0.89
01/03/00,0.55
01/04/00,0.57
01/05/00,0.37
01/06/00,0.59
01/07/00,0.39
01/08/00,0.55
01/09/00,0.73
01/10/00,0.69
01/11/00,0.86
01/12/00,1.08
01/01/01,0.55
01/02/01,-0.07
01/03/01,0.63
01/04/01,0.5
01/05/01,0.23
01/06/01,0.24
01/07/01,-0.26
01/08/01,0.59
01/09/01,0.93
01/10/01,0.45
01/11/01,0.38
01/12/01,0.14
01/01/02,0.92
01/02/02,-0.06
01/03/02,0.51
01/04/02,0.55
01/05/02,0.2
01/06/02,0.49
01/07/02,0.29
01/08/02,0.38
01/09/02,0.6
01/10/02,0.44
01/11/02,0.81
01/12/02,0.44
01/01/03,0.4
01/02/03,0.28
01/03/03,0.63
01/04/03,0.17
01/05/03,-0.32
01/06/03,0.08
01/07/03,0.14
01/08/03,0.3
01/09/03,0.6
01/10/03,0.37
01/11/03,0.83
01/12/03,0.43
01/01/04,0.62
01/02/04,0.6
01/03/04,0.34
01/04/04,0.15
01/05/04,-0.25
01/06/04,0.16
01/07/04,0.26
01/08/04,0.62
01/09/04,0.83
01/10/04,0.69
01/11/04,0.85
01/12/04,0.21
01/01/05,0
01/02/05,0.33
01/03/05,0.45
01/04/05,0.36
01/05/05,-0.25
01/06/05,-0.1
01/07/05,0.39
01/08/05,0.12
01/09/05,0.4
01/10/05,0.25
01/11/05,0.72
01/12/05,0.61
01/01/06,0.59
01/02/06,0.15
01/03/06,0.13
01/04/06,0.15
01/05/06,-0.45
01/06/06,0.09
01/07/06,0.27
01/08/06,0.51
01/09/06,1.01
01/10/06,0.44
01/11/06,0.52
01/12/06,0.58
01/01/07,0.52
01/02/07,0.28
01/03/07,0.22
01/04/07,-0.06
01/05/07,-0.49
01/06/07,0.12
01/07/07,0.42
01/08/07,0.41
01/09/07,0.78
01/10/07,0.39
01/11/07,0.71
01/12/07,0.41
01/01/08,0.46
01/02/08,0.3
01/03/08,0.72
01/04/08,0.23
01/05/08,-0.11
01/06/08,0.41
01/07/08,0.56
01/08/08,0.58
01/09/08,0.68
01/10/08,0.68
01/11/08,1.14
01/12/08,0.69
01/01/09,0.23
01/02/09,0.22
01/03/09,0.58
01/04/09,0.35
01/05/09,-0.29
01/06/09,0.18
01/07/09,0.27
01/08/09,0.24
01/09/09,0.5
01/10/09,0.3
01/11/09,0.52
01/12/09,0.41
01/01/10,1.09
01/02/10,0.58
01/03/10,0.71
01/04/10,-0.32
01/05/10,-0.63
01/06/10,-0.03
01/07/10,0.22
01/08/10,0.28
01/09/10,0.52
01/10/10,0.62
01/11/10,0.8
01/12/10,0.5
01/01/11,0.49
01/02/11,0.38
01/03/11,0.19
01/04/11,-0.01
01/05/11,-0.74
01/06/11,0
01/07/11,0.48
01/08/11,0.16
01/09/11,0.25
01/10/11,0.67
01/11/11,1.08
01/12/11,0.82
01/01/12,0.71
01/02/12,0.2
01/03/12,0.06
01/04/12,-0.31
01/05/12,-0.32
01/06/12,0.46
01/07/12,0.56
01/08/12,0.3
01/09/12,0.44
01/10/12,0.51
01/11/12,0.68
01/12/12,0.23
01/01/13,0.4
01/02/13,0.49
01/03/13,0.73
01/04/13,0.07
01/05/13,-0.33
01/06/13,-0.06
01/07/13,-0.03
01/08/13,0.28
01/09/13,0.38
01/10/13,0.48
01/11/13,0.93
01/12/13,0.57
01/01/14,0.89
01/02/14,0.25
01/03/14,0.27
01/04/14,-0.19
01/05/14,-0.32
01/06/14,0.17
01/07/14,0.28
01/08/14,0.36
01/09/14,0.44
01/10/14,0.55
01/11/14,0.81
01/12/14,0.49
01/01/15,-0.09
01/02/15,0.19
01/03/15,0.41
01/04/15,-0.26
01/05/15,-0.5
01/06/15,0.17
01/07/15,0.15
01/08/15,0.21
01/09/15,0.37
01/10/15,0.51
01/11/15,0.55
01/12/15,0.41
01/01/16,0.38
01/02/16,0.44
01/03/16,0.15
01/04/16,-0.32
01/05/16,-0.45
01/06/16,0.11
01/07/16,0.26
01/08/16,0.28
01/09/16,0.61
01/10/16,0.61
01/11/16,0.78
01/12/16,0.46
01/01/17,1.7
01/02/17,0.58
01/03/17,0.61
01/04/17,0.12
01/05/17,-0.12
01/06/17,0.25
01/07/17,0.38
01/08/17,0.49
01/09/17,0.31
01/10/17,0.63
01/11/17,1.03
01/12/17,0.59
01/01/18,0.53
01/02/18,0.38
01/03/18,0.32
01/04/18,-0.34
01/05/18,-0.16
01/06/18,0.39
01/07/18,0.54
01/08/18,0.58
01/09/18,0.42
01/10/18,0.52
01/11/18,0.85
01/12/18,0.7
01/01/19,0.09
01/02/19,-0.03
01/03/19,0.39
01/04/19,0.05
01/05/19,-0.29
01/06/19,0.06
01/07/19,0.38
01/08/19,-0.02
01/09/19,0.26
01/10/19,0.54
01/11/19,0.81
01/12/19,0.56
01/01/20,0.48
01/02/20,0.42
01/03/20,-0.05
01/04/20,-1.01
01/05/20,0.38
01/06/20,0.55
01/07/20,0.66
01/08/20,0.39
01/09/20,0.23
01/10/20,0.61
01/11/20,0.08
01/12/20,0.38
01/01/21,0.86
01/02/21,0.63
01/03/21,0.83
01/04/21,0.33
01/05/21,0.2
01/06/21,0.53
01/07/21,0.59
01/08/21,0.19
01/09/21,0.62
01/10/21,0.84
01/11/21,1.14
01/12/21,0.36
01/01/22,0.59
01/02/22,0.83
01/03/22,0.99
01/04/22,0.54
01/05/22,0.18
01/06/22,0.84
01/07/22,0.74
01/08/22,0.7
01/09/22,0.62
01/10/22,0.57
01/11/22,0.58
01/12/22,0.38
01/01/23,0.68
01/02/23,0.56
01/03/23,0.27
01/04/23,-0.02
01/05/23,-0.22
01/06/23,0.1
